text,label
Thought I saw the best of guys who need anger management.,5
Fear of punishment for having broken an item of value to my parents.,4
December is that Year of #PutYourLightsUp ready 2 decorate,1
“@APRILannGaStOn:  calls you beautiful instead of hot or sexy.” I've never been called beautiful....,0
kinda dreading,4
lost right now,0
Computer over heating. I'm scare it's going to die soon! :(,0
Shit!  best go be a bus wanker.,1
LOOOOL! RT @funnyorfact: Remove all the vowels from 'female' and you're left with FML.,0
A bunch of coaching paper work all night,1
My girlfriend dumped me .,0
really joyful,1
"@Patrickk1964 agree! Great music, good message. Thx.",1
Whenever I read or think about the way people treat animals and nature.,0
ugh science and french tests tmo. and I forgot my books,1
&quot;My soul magnifies the Lord for He has done great things for me...&quot;,1
When I learnt that my close friend was going to immigrate.,0
Just picked up the devil from his grandparent's house,4
School til 9:15 tomorrow and like 10 on Wednesday,1
Fear of the turn that the examination paper would take as I lacked confidence.,4
"Had no idea my Uncle came in town from Hawaii . , Surprise",5
@Kyle_the_Girl_ nice underscores there copycat.   All Stars without you tonight.,0
"She was astonished , and secretly pleased , that he had remembered her name .",5
My son passed grade 7 and was accepted for form I.,1
help me,4
i am worried,4
really horrified,4
Kansas St. is trending nationwide. Too bad they didn't win,0
so surprised,5
Done with all my homework before midnight #surprise Going to relax :),5
When a thief entered the house in which I was sleeping.,4
back to the sports law hustle,1
I am really enjoying The Very Gaga Thanksgiving. It's pretty great!,5
Always when I meet the person I love.,1
Mrs harris being especially bitchy today,5
i am enraged,3
i am tense,4
When I met my mother after not having seen her for three years.,1
is the wrong use of imagination. It is anticipating the worst not the best. #WGTB,4
@joeyrichet help me people don't like the muppets at my school.,0
Will you take my materials back from him for me ? Please !,3
Pulling three back to back shifts for nearly 20 total hours ..,1
I don't know but i feel depressed.,0
Success is winning even in defeat !!! no one but god#,4
My Other Bestfriends Upset So Now I Gotta Go Beat Her Ass Lmfao,1
My dad has the worst cable in the world.,1
Doubt I'll get a message from you today. Won't be a,5
really frustrated,3
@fanzoid321 is riding to work on his motorcycle @fanzinator : @fanzoid always,0
truly omg,5
"Studying exercise for kids, elderly, and pregnant women for the next 10 hours...",1
Air con is broken on the train,1
Champers n mince pies at 11 in work @craigscampbell missing out!!,1
guess what,5
The men got resentful of the women working all hours in the co-op .,3
Alone in a white van eating a mars bar,0
@EmilySadler2 Did you leave without telling me goodbye??? :(,0
really glad,1
Heated discussion with spouse concerning new house.,3
am crazy about you so much,2
i am content,1
When I was told that my friend's wife had cancer.,0
Wow @Fckn_Dayvid showed up to homeroom today and he's being a total douchebag #surprise,5
Heard a X-mas song today that really filled my heart with,1
"not afraid of tomorrow, for I have seen yesterday and I love today #less",4
The guy fixed the heater. Now I can finally be warm. #warm #hotguy,1
i am grateful,1
When my grandfathers died and I realized how much I would miss them.,0
Getting lost in a strange place.,4
Happy birthday to the man @stoody21,5
really content,1
oh the joys of double french on a monday morning @FabianCooper @mattcloke,1
Wrestling tournament tomorrow what a,1
Setting your alarm for 3 and a 1/2 hours later then the day before &lt;3,1
really bitter,3
truly treasure you,2
still anxious,4
absolutely mind blown,5
"Thinking about getting ready for work, onto two shifts left till Saturdays night out",1
"This could mean my last paper, my graduation, my Btech2012, my new real job.   leggo!",1
Not winning a medal in the swimming contest.,0
absolutely frustrated,3
completely whoa,5
I know for sure that something is wrong !,4
He 's just happy to get on with it .,1
@Kippin91 dowdy didn't turn up to training,5
truly adore you,2
Writing a poem while the Sun has returned and the train is almost in Utrecht.,5
ohmypotato. time for bed. Space Program tomorrow!,0
In life there is either  or -I pick #confidence ~David Murphy,4
Good idea . Can I bring some music from that period too ?,1
Assaulted by drunken neighbour.,4
Finding my glasses again after having lost them in town.,1
What would this lady do if I did my future occupation on gogo dancing?!,5
"Essay in!!! Stress is kinda gone, now for a 7 page paper next?",1
"@_Margal Car, OUI, la StarAc' n'est pas morte outre-Atlantique",4
@hollynicolx I don't know yet :/ they'll send me the bill in the post,1
Not getting married to @Danielle_Magoc because of  =   late night talks hahaha @ashmarie_a,0
"Joyful, Joyful We Adore Thee  #weekofjoy",1
really unbelievable,5
Just went into my moms closet for something and found all my Christmas presents  #thankssanta,5
sad as always,0
Time to study once again. Except this time for Anne's class.,1
been feeling wonderful,1
Hmm my face is slightly swolen and painful,1
"When the robbers broke in, at night.",4
"My alarm click just said, &quot;alarm will sound in 1 1/2 hours&quot;  #bedtime #schoolprojects #allnighter?",3
The moment of when mother nature departs,1
Fear Factor is coming back?,1
Country and Western is suitable for calming an agitated animal,4
I ’ d better go tomorrow .,0
"Once, during a performance I did not sing the way I had to.",3
resentful right now,3
I felt very happy when I won the football pools.,1
"room clean, bed made, laundry done. only thing left is homework.",1
Tonight was awful. And I get to do it tomorrow too!,1
i really am mad about you,2
I felt sad when my father was sick.,0
completely angry,3
"Bought some Christmas crackers for the first time!  What's in them, usually?",5
I felt a stifled anger against her .,3
Christmas Angry Birds is out.,1
"english mock was hell on earth, now for sociology",1
i resentful it,3
I haven't listened to I Remember Me in full in a minute,5
I guess tonight I'm going to T.G.I fridays with Morgan and her boyfriend....,1
actually happy,1
"Dan kom je by je bed , ligt er een chocoletter in #lekkerr",5
wait shocked,5
@greysonchance maybe you missed one letter while you were typing. It's grey not #suprise :),5
Goodnight tweetheads. English final at 8am,1
He was furious with me for ringing him .,3
I 'm delighted about that .,1
Winning the local soccer championships this year was a great joy.,1
I'm honored to know you .,1
oh wow,5
Not being able to sleep till like 2am for past 3 days,1
i feel tearful,0
"Bit over all the blood testing, starting to resemble a human pin cushion.",1
i am gloomy,0
Rough morning coming back to work on a yucky day after a 4-day weekend...,0
today is going to be a hell of a day! lol #teamfollowback,5
"@itzJoJoVee ur welcme,ano gagawin mo s bday mo?!nabangan ko bday mo,kc lilipad ako jan,haha,",5
@CVickery615 atleast I don't talk to people I've never even met,0
I felt it at the same time when I felt disgust.,4
One of them lazy do absolutely fuck all days...,1
Scared to get up in th morning incase i cant walk,4
I'm going to open a new pack of test pad papers.,1
Helping in the nursery school.,1
Is really looking forward to my day off Friday #grocerystoressuck,1
"Linda , thank you for this wonderful Christmas dinner . I really enjoyed it .",1
my mom is making us wear elf hats for our christmas card picture...,1
i feel apprehensive,4
But you should tell me you were in love with her .,3
Maak ik wel even een nieuwe. Een stomme.,5
"“@RevRunWisdom not afraid of tomorrow, for I have seen yesterday and I love today #less”",4
"This party is going to have a DJ , food , and drinks .",1
When I nearly collided with another car.,4
"Sounds good , when ?",1
actually blissful,1
"Mungo felt elated , smiling back .",1
&quot;@Y_Strahovski: 10 more shooting days on chuck ! It's all so surreal !&quot;,0
Dang that made me super mad,3
excited about this,1
i really am crazy about you,2
"Isaiah 54:14 “I am far from oppression, and fear does not come near me.”   #promise",4
Finding out I am not chosen for the English lectures.,0
"was just informed that Jay-Z is 42 years old... totally makes him 1,000 times sexier..",5
She gave an embarrassed smile and looked down at her hands .,0
very tense,4
And his story didn't even hold together . I feel such an idiot .,3
Regrets not buying a raf fair isle this season,0
really heartbroken,0
The last  Weekend Beta Test starts 20.00h CET / 19.00h GMT tonight! Im invited!,1
She was becoming increasingly despondent about the way things were going .,0
broken right now,0
feeling thrilled,1
"He was a man drowning his sorrows , he 'd decided .",0
"He had a narrow mournful face , tapering to a long pointed chin .",0
Kinda upset @Jtthompson22 didn't hit 120 this trip,4
Hearing of the death of a friend who had been skiing.,0
are you kidding,3
It's been 2 years since my dad died :/ love you dad. :/,0
my night was perfect ❤ now bedtime... work in 2 hours...,1
actually sleeping in my bed instead of the couch,5
Are you enjoying married life ?,1
prolly next time might as well forget my birthday..... and my name and everything else.,0
"Sure , that would be great . I'll bring the wine .",1
"A close relative of mine underwent a difficult operation, and everything turned out fine.",1
"Late, late,late, late! #rage",3
"I remember you, this feeling isn't new.& please don't be scared of me.",4
A smile of amusement played on his lips as he studied his unkempt prize .,1
"2 and 3/4 pages out of 5, saving the rest for tomorrow",1
Success in university entrance examination.,1
frightened right now,4
` You 're not just frightened for Lucy .,4
staying home tomorrow to decorate the house before my mom gets home,5
When my elder brother died.,0
i am crazy about you,2
really elated,1
@briehaner I miss your pretty face,0
Fuck all of y'all we ignore feelings here,4
Successful cooking fiesta!,5
When I was selected to start Form I at Malosa Secondary school.,1
Sometimes the worst things can be the best things that ever happened to me,0
I look like I've been attacked by a drunk deer today,1
@Peste_diabolica to aki no meu quarto sozinho jogando silent hill 4 !,4
"Going to bed, ACT in the morning.",1
overjoyed about this,1
My better half's sooooo far away.. I only have his shirt to hug,0
Not changing the date on your watch can seriously put a spanner in the works...,5
"Forget Everything And Remember, For Everything A Reason.",4
a bit terrified,4
mind blown i cant believe it,5
Got a silver maths challenge certificate,5
Today is a GREAT day no matter WHAT happens. @iamnurisha&  #believe #triumph #positive #motivate #inspire,1
"io oggi dovevo semplicemente fare l'albero,perchè mi ritrovo a dover rimettere in ordine camera mia?",0
"Eventjes Sinterklaas gedicht in elkaar zetten, dan rest van cadeautjes in pakken",5
unexpected i cant believe it,5
blessed about this,1
Loving this last day if the week feeling ;D,1
so horrified,4
Um I guess I'm taking the ACT test tomorrow?,5
Love dressing up for a photo and having a huge white board covering your outift.,3
pleased about this,1
"I received an assignment back, and got an A+ grading.",1
completely unbelievable,5
I have discovered the very pinnacle of human civilisation: the Ocado iPad App.,1
I  soo Much  Im Jus Tryna Feel sum,1
Told by some people the class leader only choose his friends (not true).,3
@Emily_Renwick remember that one time we worked together?  #bowties,1
"Man , I ’ m freaking out ! You gotta help me !",4
I experienced tears of real grief for the first time when my granny died .,0
"His voice was tetchy , but not alarmed .",4
getting hit my a non-driver and having my shit totaled,4
So sad that I'm missing  -___- 2nd year in a row!,0
"Oh H&amp;M, another pair of your jeans ripped on me in an embarrassing manner @hmusa",0
Når jeg er på bussen tidlig en lørdagsmorgen og det stinker mat over alt.,3
a bit terrified,4
&gt;&gt;&gt;&gt;When fun things are happening the day you have to study for your final. :(,0
Taking a subway today.....,1
@drakellaj: I hope you know that y'all the reason I have fun still,1
Boy u have turn into such a fuking mess it aint even funny now,3
Looks like tomorrow's gonna be a great day after all! #spontaniousplanning,5
Chewing gum lost sweetness in 5 mins :(,0
@Sam__Way do not fear  embrace it!!! Also @mylestatlock is threatening to miss it... To work...,3
"there's always the one avid photographer at parties, determined not to be in the shots",4
No one was more pleased about Dara 's demise than Roshanara Begum .,1
but I absolutely hate female bathrooms that smell like tangy coochies!,3
"Wow, just got a quick reminder on why I left dis bit.",0
Vanavond surprise afmaken.....pfoe..wát een werk!! &quot;Joehoe! Is er een  in de zaal...?!?&quot; #sinterklaas,5
@SusKamery_24 hi hello hey. We did not get food today.,0
His parents were furious over the engagement business .,3
"my sister got this purse, It smell like straight up KITTY LITTER.",3
I haven't even told you what it is yet !,3
the moment when you get another follower and you cheer.,1
When I was left alone at home one night by my brother.,4
grief again,0
A dear friend was removed from the division whre I work.,0
hurt as always,0
getting apprehensive,4
She was totally nonplussed .,5
i pissed this,3
i fuming you,3
I've just realized tonight it'll be the last Sectionals with the actual awesome cast :(,0
i feel blissful,1
I just shit my pants. Pure 100% gravy.,1
I hate computers and research papers,0
still dreading,4
@SeattleMaven my twitter is not working at work,0
I luv kick ups specially da ones with Silver Fox!,1
"@bellamalzone im jk, im not gonna watch you. i HAVE t work the concession stand.",1
"Lolz, aw, Batman the Brave and the Bold got cancelled =(",0
My brothers making fun of my music :(,0
I'm no longer the mayor of Columbus Crew Stadium on foursquare :(,0
i am blue,0
` He was livid .,3
Be truly glad. There is wonderful ahead! I Peter 1:6 #turnbacktogod #jesustweeters,1
"Alright, so Im done tweeting for marcel :) Follow me @_ElectronOrbit SURPRISE HOE's!! :)",1
I'm sorry to have bothered you .,0
I hate public transport I feel so dirty,3
so wow,5
i admire him,2
fuming this,3
Good if you are nervous about making a permanent change .,4
my everything,2
Got in touch with earlier friends after a long absence.,1
Woahhhhhhh just found out my grandpa was the Iranian prime minister #didntseethisonecoming,5
värmer en random matlåda. ska bli mycket intressant att se va den innehåller,5
He became even more lugubrious .,0
@CamilleWhitty LOLL so am I!!! Should be illegal to make us wait 4 weeks!!!!,3
very devastated,0
@Karla_Isabella2 Couldn't ask for a better ;) lolol. Give me a warning next time,5
Mother Nature is quite an artist .,1
"2 Duke possessions, 2 Tennessee fouls. #not",5
Follow me on Twitter for official @OfficialPWG results and coverage,4
then bed in preparation for my 7-4 shift tomorrow.,1
Resist Launch out into the deep!,4
@pathien selon doctissimo le verdict est sans appel: cancer du cerveau !!,4
feeling tense,4
Seb was slightly embarrassed at meeting the gipsy .,0
I just don ’ t want to play table tennis any more .,0
i appreciate him,2
so wonderful,1
I'm scared I'll waste my life being Joe Shmoe with no dough,4
"crying just might happen today, with joy or grief",5
"Ooooooh shit, just found thingsaboutgirlfriends tumblr! Lets get ready to be sad!!  #pityparty",0
When my father passed away.,0
just feel grateful,1
Silly me !,0
Now I know that something bad is up !,4
my wisdom tooth coming in -_-,1
grief today,0
Anxiety. The elephant in the room that scares me shitless.,4
@nealsdeli pastrami biscuit is the best thing since oh my god,1
I still have an hour till my doctors appointment.. then I have school..,1
How dare you accuse me of stealing your computer ?,3
finally awesome,1
"When my room-mate locked me out deliberately, before an exam due at 1400 hours.",3
I can't talk to you while you drive #youarenotamulti-tasker @DanielElliott17,0
cool. got my phone taken away and can't see Michael.,3
so miserable,0
Chunky had no idea baby #lsulsu @peraginee,5
Blanche was disquieted but not sure why .,4
just feel cheerful,1
elated about this,1
A grenade blew out next to me.,4
what you don't know &amp; #fuck the world don't ask me for #shit,4
Work till close,1
"If you do this again , don't even bother coming home .",3
And found to his annoyance that he was grinding his teeth .,3
"When I was accused of bitching about best friend.""",3
High as hell in monkey joes with my lil bro and his friends ._.,1
Thank u to all the amazing people who r following me!!!! Luv ya guys!!!!! :D,1
Didn't have time to watch @TheXFactor this weekend,0
That I would do bad in a class and not get into Bus school.,4
Dear FoxandFriends because some kids family loves to sue,4
"Yeah , I am very impressed with Tom Hanks ' performance in the movie .",1
@ashlee_yrigoyen message me back. i have a proposition for you!,5
Anger is the emotional result externalization of our own worth.,3
feeling miserable,0
@leotobasco He know's the rules! It's strictly consensual if you yell,5
"@amore1134 what! why?! its not like its a human or plastic surgery??& -__-,",0
"Time for bed, finally (:   :/",1
I wish I wasn't such a baby about speaking my mind sometimes. my biggest enemy.,4
= False Evidence Appearing Real,4
Fun night :) now time to be productive,1
Some people Swear that they're  ...but they really don't have a  bone in they're body!,0
Well I'm awake.... Woke up to 50mill texts oh and to a vacuum cleaner....,1
"Oh great, Ljubljana is already hooked up with december's tasteless kitsch.",1
If I Had A Gun I'd Shoot You In The Foot. Or Back.,3
"God, don't show me any more I don't think my heart can take it.",0
i have an eerie feeling that im not going to do anything this weekend,4
omg omg,5
really angry,3
I'm so tired. Got work again tomorrow so another early morning,1
When I was admitted to the University.,1
I can see you 're pleased with yourself `,1
"At an undeserved attitude toward a man, when human personality is not treated decently.",3
"A quiet overcast morning, decorations scattered on floor, things to do, people to see, peaceful.",1
miserable right now,0
its december so i can watch and listen to all the christmas stuff i want.,1
cutting your tongue on a sucker,3
Eeee!!! I leave Friday morning for LA!!!! OMG!!!,4
@hayraee that's so sweet of you(: I miss you wittle muffin!,0
I would like to compliment you on your diligence .,1
..I just cry  RT @Homme_Aubain: They need to make a finding Nemo 2,1
I'm definitely wearing something neutral over my red in Baton Rouge next week. #cajuns,4
Miss it when the football aint on tv.,0
love how pregnant my sister-in-law is #ilovebabies,1
tense right now,4
running 2 miles in the morning,1
Lookin up red bottoms thinking if I should buy them for her,5
just feel excited,1
feeling furious,3
When my family allowed me to do higher studies.,1
Party game! Only one more day in drama,0
Wow ! Why so much ? I thought they were getting you an assistant .,3
The mafia of the mind; One Big Bad Bully....,4
omg shocking,5
absolutely unbelievable,5
When I pass an exam.,1
so devastated,0
That's too bad.They ' re such good company .,0
"There is danger in traditional paper media calling electronic media (youtube, blogger, etc.)",4
am crazy about it,2
My friend started to misunderstand and hurt me.,4
Thursday night channel 5!,1
"And thanks to last night's @dirtydogooders shoot, filming blanket and I have been reunited.",1
"“@RevRunWisdom not afraid of tomorrow, for I have seen yesterday and I love today #less”",4
Good . I know that you are capable of being an excellent student .,1
Christmas lights are strung on everything in sight!   and,1
"There's no hot water , and the building is falling apart !",3
I helped someone to do something and was found out.,4
Heading back home,1
i am pleased,1
@TheQueenHutras DO WE HAVE FRENCH HOMEWORK? ANSWER MY TEXTS.,3
School tomorrow and I still can't sleep,1
Nothing better than coming home to flowers and dinner from the boy...best,5
I love Chelsea's face when she talks on the phone to David. #LOL,3
I just wanna have to feel that lovely feeling inside when you're in love..,0
Fear of failure must never be a reason not to try something. ~ Smith   #success,4
"Horrible morning, off to another long ass day at work",1
Thought it was a cinnamon raisin bagel  its a chocolate chip bagel,5
I got robbed !,0
Running late and my car is frozen solid,1
first meet of the season tomorrow with @Buiscubes!!,1
"Holy God; someone call a number, dis dumb ass just texted me #surprise.",5
Penn state ice hockey game ,5
@SuzanneMBakker @LuciaMHNas It is always nice to have mention on twitter.,5
completely loathe,3
feeling hostile,3
Happy birthday to a pretty cool girl @whenCAMSwentHAM,5
Gisteren Sinterklaas gevierd en ik kreeg een iPad met Microsoft Word erop,5
I don't care . I have a headache .,3
decorating my christmas tree with my half broken fingeeerr! (;,1
Can't wait to watch @jsabatka basketball game #yippe,1
&quot;@debrareble: follows a pure thought like a shadow that never leaves-Buddha #quote&quot;,1
feeling hostile,3
When I thought the house was on fire at night.,4
People hide their behind a #fake smile.,0
this library trip is taking TOO long yo',3
He looked very sad .,0
There is nothing new in the experts spreading unwarranted alarm and despondency .,0
"@HenryBronkhorst van harte, wat een mooi kereltje, gaat het goed met hem?",5
im content,1
My thesis paper being accepted!!!!! #thisbringsmejoy,1
"Just realized my 3,000 tweet was a drunk tweet!!",0
Mr Jones exploded in anger .,3
Lundi y a J Cole je n'y serai pas,0
"Listening to Christmas music, while decorating the tree with the girl.",1
Net halfuur bezig geweest bij de kraan om de lijm erg te krijgen  #Dinnetjes,5
My pride is going to backfire on me one day,4
@sirfat @SirRubalot surprise steak? Is it a chicken pretending to be a steak?,5
"Oh , my computer crashed again !",0
Wish i could play lacrosse tonight,0
"oh great, the private school entrance exams are this weekend aren't they? #testsaregreat #loljk",1
I think I will . Thanks for the info .,1
really happy,1
home with the babbis but can't hold the 7 month old coz he has flu,0
Lekker aan het knutselen en rijmen met een glas wijn ter inspiratie waarvoor dank @ProefOostenrijk,5
"Youu call it JEALOUSY, I call it of #Losing YOU...",4
I really like the record you lent me the other day .,3
anxious right now,4
Didn't move my car none today,5
"Break! Whatever your challenge, imagine it's over. Everything worked perfectly. Feel the release. #LJB",1
To live in is a life half-lived.  Spanish Proverb,4
car ride home...,1
i am ecstatic,1
totally astounded,5
Be the greatest dancer of your life! practice daily positive habits.  #fun #freedom #habits,1
hate right now,3
Going home to blasting christmas music #tistheseason,1
pour moi car je n'ai pas beaucoup de followers :'(,0
@casespcae101 same here w/ my lip. Can't wait til I go visit her haha,5
"Its going to be an interesting day today, I have no idea what is planned",5
How the hell can DirecTV not have CSN! Can't even watch the  game. Fuck!,3
"I ’ m so excited , mother . Oh , a new baby !",1
i annoyed this,3
Bye .,1
Made a wonderful driend who understands me.,1
&lt;~~~~ If she worth some den she definitely worth some #effort,3
@hailey_mills Me Too! Josh leaves for basic training in march:(,0
I REALLY hate driving by water,4
Having a REALLY wild night here in the condo. Sex and babies :)) @carmisacramento @kalals,1
"Zo naar school, gelukkig vroeg vrij! Wel een hele drukke middag  #staluitmesten #verslagenmaken",5
"@gabygab17 my cellphone is dead, my computer is dead so im dead",0
Final Exam in Computers and Society,5
Timmy's green tea and 30 papers to mark....,1
Fear to come and live in Nijmegen.,4
just feel elated,1
"ever wish you could go back a few years,  and do it all differently.",0
Champion's League round tonight. :),1
went to the window and found &quot;snow is falling all around me&quot;,1
"Oh , no ! I can't have failed . Are you sure ?",0
Planning events to give people in need Christmas gifts!,1
Why do I still get shocked every time I see my red hair,5
LMAO calling me up for a game last minute #regretcuttingme?,5
He seemed happy with this .,1
enraged you,3
I thought ppl wanted to be in twitter jail,1
bout to be super cold tonight at prctice #nippley,1
Lmao RT @danecook: I just shit my pants. Pure 100% gravy.,1
My condolences .,0
very wonderful,1
I'm cooking Thanksgiving Dinner this year  : ),1
the people i tried to escape from on facebook are now on twitter,1
It's DECEMBER?? oh holy crap when did THAT happen?! #whatthehelldidIdowithmylifethispastyear,5
All I'm gonna hear tomorrow at school is the bedlam game I bet,1
I think we're going to have a happy girl tomorrow :))),5
"I'm sorry sir , this flight has been cancelled due to some mechanical problems .",0
There is no joy like hammock based joy.,1
you mean everything,2
is such a weak emotion that's why I despise it.,4
At least more than 100 years old .,1
I tell you! A good prayer service is better than 10 birthdays!! :D,1
The sh*t has just hit the metaphorical fan,4
At home sick and today they decide to test the fire alarms in my apartment,3
glad about this,1
i am excited,1
so astonished,5
` But other people became very sad and worried .,0
omg astonished,5
gloomy as always,0
@FfionHughes will be home tomorrow lad.. Miss sister sledge haha @Rhian_23,5
"Okay, just checked the mirror. No vampire bit me, I just slept awkward.",0
It's leap my mind . I really feel terrible about it .,0
"A fellow player, quite unexpectedly, scores a goal, which means a draw.",1
@greysonchance can't wait till friday! and the mhmm...wonder what it is ;),5
Phew! Glad physics/chemistry is done for the year :-),1
so excited,1
"Ma io voglio leggere Martin, non il libro di Chimica. Martin. Non Chimica.",0
@NicoleGamo finally you got it! Congrats! Do they know already? How did they react?,5
very panicked,4
The day some friends of mine and I decided to go to Galicia on holiday.,1
@Lady_Charly_ Euh...oui. Il était pas en statue celui-là??,4
kinda spooked,4
"Leaving for stl today. 9 hour drive,",1
Getting ready for a day full of school work,1
"When Im not okay, I always tend to spend more than the usual. fvck",0
Took a nap because I wasn't feeling good then woke up feeling even worse. :|,1
"Be a reminder to people of what they wish to be. Inspire, shine, glow.",1
Awkward ass lunch!,1
Just heard Pat Hill is out as FresnoSt HC.,5
just feel lonely,0
very miserable,0
Maggie felt an odd excitement stirring inside .,1
really furious,3
so loathe,3
As much as i love @Fearnecotton and @hollywills i HATE the new very advert.,3
After the fact that made me ashamed I felt sadness.,0
"Yeah , I know , but it's too hard to do .",0
Getting shot don't scare me but getting cut scares me like a bitch,4
"things that never get better with time, putting the cover on your duvet.",3
I went home and visited with my family and friends.,1
"Twitter changgedddd, just screwed with my head a little",5
Being insulted in public for the wrong reason.,3
Words bubbled in Jay 's mind with an absurdly happy smile .,1
` It is miserable for us to look back on these things .,0
"“@RevRunWisdom not afraid of tomorrow, for I have seen yesterday and I love today #less”",4
That ’ s a pity . We can arrange another time hopefully .,0
"` I 'm so happy you could make it , my favourite jockey . """,1
i am uneasy,4
Town 's fans are angry at losing the club 's leading scorer .,3
Marriage crises.  Boredom.,0
"“@RevRunWisdom: not afraid of tomorrow, for I have seen yesterday and I love today #less”",4
Missed the Stanford vs. Duke game to watch baseball.,1
I constantly worry i can hear intruders at night.,4
One of the three khthons began to hum a sorrowful melody .,0
A day filled with reading some book for English.. #shootme,1
Worst in the world dropping my #iphone4 in the TOLIET #randomthought,4
Hate driving next to 18 Wheelers. Heart starts pounding through my chest every time.,4
"of when your phone starts falling towards your face , but you save it. #amazing",4
been feeling wonderful,1
im devastated,0
friday night at home without mom that's gonna be #loneliness T_T,0
one test left at 8am tomorrow and then goodbye mankato forever :'(,0
Back to physical therapy I go. #sarcasm,1
I can't wait to be in awkward situation next period #sarcasm,1
Getting the top price in the football pools.,1
to feel happy just once for a whole day would be brilliant,0
i hate hearing my mom eat..,3
Poor game management from the Jags. #not,5
Guy I cared for went back to Canada to live.,0
this is unexpected,5
I was very very angry to read Batty 's comments about Leeds .,3
I'm afraid you've made a mistake . This isn't what I ordered .,0
Being alone in the room at night.,4
very blissful,1
"When a discussion resulted in an insult, which in my opinion, was not justified.",3
"Club? Naw, I'd rather trip off my family.   #loyalty. #lovemyfamilia",1
Grocery shopping and this car in the parking lot is literally up in flames #yourweekcouldbeworse,5
Dogs are coming home from the war with post traumatic stress disorder :(,0
I am not downhearted .,0
furious you,3
"Oh , that's too bad . Should I call a doctor ?",0
People that update every waking movement #headache #madeacuppa,3
i am alarmed,4
Wonderful morning and happy Friday. Full of  &amp;,1
truly speechless,5
will make you do things you'll regret!,3
` I am so excited about seeing my sons again .,1
i think i sweated out most of my sickness today....,1
someone thinking they know me.. but dont have the slightest clue,4
Just knowing that factor OS coming back makes my whole entire night. #:),4
i enraged you,3
Christmas shopping tomorrow. #notforreal anyone wanna come with and keep me company? #please,1
a bit frightened,4
Hockey tournament to watch tomorrow. #yeahnotreally #whatishockey,1
Screwed up sleep schedule.,1
completely furious,3
@Biliske07 ....wow your girlfriend is pretty.,5
At Willy T studying for this stupid Spanish final.,1
"Home alone, working on my research paper.",1
"school was fun today,",5
always lonely,0
track practice in a bitt,1
8 people ask for my number. 1 person texts me for 3 minutes. #foreveralone #shouldnthavesoldstufftogetitturnedbackon,0
im despise,3
And so ends another marvelous day in paradise. Everyday progressively better than the last.,3
i feel tense,4
